companyId;companyName;ticker;price;p_L;p_VP;p_Ebit;p_Ativo;eV_Ebit;margemBruta;margemEbit;margemLiquida;p_SR;p_CapitalGiro;p_AtivoCirculante;giroAtivos;roe;roa;roic;dividaliquidaPatrimonioLiquido;dividaLiquidaEbit;pl_Ativo;passivo_Ativo;liquidezCorrente;peg_Ratio;receitas_Cagr5;liquidezMediaDiaria;vpa;lpa;valorMercado;dy;lucros_Cagr5
389;TRONOX PIGMENTOS DO BRASIL S.A.;CRPG6;27,4;7,5078;0,8725;8,6012;0,6776;9,2097;12,6;10,13;11,61;0,8715;1,4634;-1,6185;0,78;11,62;9,03;8,91;-0,17;-1,68;0,78;0,22;4,91;-0,11862322;17,77;29767,6;31,4027;3,6495;1006822028,32;17,3547;4,74
431;ITAUTEC;ITEC3;40,1;-35,1234;22,0421;-13,8532;9,2157;-13,2113;-121,18;-18852,94;-7435,88;2611,7333;25,4234;-16,7003;0,0;-62,76;-26,24;-174,07;-1,02;0,64;0,42;0,58;5,23;1,35870978;-75,29;;1,8192;-1,1417;443994658,6;;
371;METALGRAFICA IGUACU;MTIG4;23,0;-54,8708;-39,9116;-84,1527;33,6079;-2,927;-23,23;-86,65;-132,89;72,9164;-31,1372;-49,2213;0,46;-72,74;-61,25;-149,31;;-2,82;-0,84;1,84;0,23;-0,04755997;-19,4;6887,4;-0,5763;-0,4192;3700608,0;;
371;METALGRAFICA IGUACU;MTIG3;0,0;0,0;0,0;0,0;0,0;-2,927;-23,23;-86,65;-132,89;0,0;0,0;0,0;0,46;-72,74;-61,25;-149,31;;-2,82;-0,84;1,84;0,23;0,0;-19,4;;-0,5763;-0,4192;3700608,0;;
193;METALURGICA RIOSULENSE;RSUL4;55,1;5,2938;2,636;3,5064;0,9845;1,2506;36,23;24,28;16,08;0,8514;3,9345;-2,1317;1,16;49,79;18,6;52,01;-0,14;-0,19;0,37;0,63;1,87;0,20516464;24,27;180926,3;20,9028;10,4083;134705890,3;3,6121;
193;METALURGICA RIOSULENSE;RSUL3;0,0;0,0;0,0;0,0;0,0;1,2506;36,23;24,28;16,08;0,0;0,0;0,0;1,16;49,79;18,6;52,01;-0,14;-0,19;0,37;0,63;1,87;0,0;24,27;;20,9028;10,4083;134705890,3;;
463;CPFL ENERGIA;CPFE3;31,3;7,1351;2,3383;3,973;0,5465;6,0892;28,01;22,96;12,78;0,9122;-34,3711;-0,695;0,6;32,77;7,66;18,36;1,25;2,12;0,23;0,76;0,93;0,49738903;15,46;58175378,26;13,3857;4,3868;36065563972,0;10,3587;41,19
259;MUNDIAL;MNDL3;40,51;-0,1575;-0,136;1,0313;0,0788;4,3161;36,6;13,16;-86,19;0,1358;-0,0813;-0,1179;0,58;-86,33;-50,05;-20,77;;3,28;-0,58;1,58;0,25;9,111e-05;10,41;51829,32;-297,9119;-257,1831;100475332,6;;
425;FLEURY;FLRY3;15,0;15,8378;2,8764;7,0489;0,8119;10,6858;28,29;17,9;7,97;1,2615;10,9252;-1,1119;0,64;18,16;5,13;11,83;1,48;3,64;0,28;0,72;1,38;-0,93612915;13,06;45926767,7;5,2149;0,9471;5507956440,0;6,6953;8,74
282;SIDERURGICA J. L. ALIPERTI;APTI3;197,64;0,6071;0,0151;-1,1413;0,0072;-7,1167;101,56;-8,62;16,21;0,0984;0,0207;-0,0123;0,07;2,49;1,19;-6,4;-0,09;6,69;0,48;0,52;6,73;-0,00379466;-6,46;;13091,3149;325,5714;44442750,0;;
282;SIDERURGICA J. L. ALIPERTI;APTI4;3500,0;10,7503;0,2674;-20,212;0,1282;-7,1167;101,56;-8,62;16,21;1,7429;0,3657;-0,2179;0,07;2,49;1,19;-6,4;-0,09;6,69;0,48;0,52;6,73;-0,06719955;-6,46;;13091,3149;325,5714;44442750,0;;
305;HABITASUL;HBTS5;30,05;24,7714;0,5635;-26,1323;0,1995;-44,777;90,77;-6,44;6,79;1,6827;6,6567;-0,2241;0,12;2,27;0,81;-4,63;0,4;-18,64;0,35;0,65;1,38;-0,26026813;37,96;4650,0;53,3261;1,2131;274467294,35;4,6812;
291;BRF;BRFS3;6,68;-5,4249;0,5933;5,795;0,1272;17,6241;16,71;2,36;-2,53;0,1371;1,2143;-0,2331;0,93;-10,94;-2,35;2,51;1,21;11,83;0,21;0,77;1,3;0,01269022;7,46;172464344,81;11,2584;-1,2314;7230921283,28;;
800;ONCOCLINICAS DO BRASIL SERVICOS MEDICOS S.A.;ONCO3;7,67;-397,0078;1,8847;10,7609;0,5218;17,5429;34,77;9,69;-0,26;1,043;6,1618;-0,7326;0,5;-0,47;-0,13;5,16;1,19;6,78;0,28;0,65;1,42;4,16645444;;10356166,96;4,0696;-0,0193;3796188756,88;;
296;MINUPAR;MNPR3;5,95;1,0193;-0,1321;0,584;0,1391;0,5871;28,32;19,95;11,43;0,1165;-0,1143;-0,2913;1,19;-12,96;13,64;-19,67;;0,0;-1,05;2,05;0,3;0,00267232;10,24;13971,38;-45,0526;5,8374;42245595,0;;
388;DEXXOS PARTICIPACOES S.A.;DEXP3;7,75;5,4569;1,3836;3,286;0,5493;4,2373;17,7;10,18;6,13;0,3345;1,3294;-1,5678;1,64;25,35;10,07;22,04;0,41;0,97;0,4;0,52;2,75;-0,16936192;32,29;1079661,33;5,6014;1,4202;723929734,2;4,9653;20,48
388;DEXXOS PARTICIPACOES S.A.;DEXP4;6,94;4,8865;1,239;2,9425;0,4919;4,2373;17,7;10,18;6,13;0,2995;1,1905;-1,4039;1,64;25,35;10,07;22,04;0,41;0,97;0,4;0,52;2,75;-0,15166086;32,29;68263,96;5,6014;1,4202;723929734,2;5,8453;20,48
380;SANSUY;SNSY5;3,01;-0,1361;-0,0144;-1,1191;0,0502;-9,5953;17,38;-2,53;-20,78;0,0283;-0,5373;-0,1219;1,78;-10,62;-36,9;1,41;;-5,85;-3,48;4,51;0,86;-0,00221168;16,09;4515,46;-208,353;-22,1224;77662530,4;;
380;SANSUY;SNSY6;13,33;-0,6026;-0,064;-4,9561;0,2223;-9,5953;17,38;-2,53;-20,78;0,1252;-2,3797;-0,5398;1,78;-10,62;-36,9;1,41;;-5,85;-3,48;4,51;0,86;-0,0097946;16,09;;-208,353;-22,1224;77662530,4;;
380;SANSUY;SNSY3;3,85;-0,174;-0,0185;-1,4314;0,0642;-9,5953;17,38;-2,53;-20,78;0,0362;-0,6873;-0,1559;1,78;-10,62;-36,9;1,41;;-5,85;-3,48;4,51;0,86;-0,0028289;16,09;4407,87;-208,353;-22,1224;77662530,4;;
179;STARA;STTR3;0,0;0,0;0,0;0,0;0,0;-0,2177;31,37;17,25;14,11;0,0;0,0;0,0;1,27;32,1;17,86;25,38;-0,09;-0,22;0,56;0,44;2,46;0,0;22,02;;2,914;0,9355;0,0;;
212;IOCHPE MAXION;MYPK3;11,26;3,3675;0,4232;1,3026;0,1139;4,7619;11,24;8,02;3,1;0,1044;0,5877;-0,2412;1,09;12,57;3,38;10,35;1,12;3,46;0,27;0,71;1,58;0,05270061;14,96;20878733,63;26,6058;3,3437;1730882707,26;7,3944;88,62
645;TRACK & FIELD CO S.A.;TFCO4;10,95;107,375;32,6926;84,6497;20,1026;14,5319;58,17;23,0;18,14;19,4731;39,9616;-72,9312;1,03;30,45;18,72;24,51;0,11;0,29;0,61;0,39;3,27;2,00019086;;1668414,81;0,3349;0,102;1748912116,43;1,6471;
201;WILSON SONS;PORT3;9,9;16,9294;1,9258;7,9389;0,7898;12,4902;43,12;24,22;11,36;1,9225;16313,4425;-0,9079;0,41;11,38;4,67;8,44;1,1;4,55;0,41;0,59;1,0;2,30947254;6,17;2518122,93;5,1406;0,5848;4355689140,0;6,1033;-2,54
643;GRUPO MATEUS S.A.;GMAT3;6,25;14,5648;1,9317;11,4734;1,1147;13,5206;22,39;5,97;4,71;0,6855;2,4319;-3,0678;1,63;13,26;7,65;11,29;0,34;2,05;0,58;0,42;3,57;0,53888944;;42592615,74;3,2355;0,4291;13808412993,75;;
467;ELETROPAR;LIPR3;70,4;30,9105;3,9936;34,4673;3,3879;31,8753;;;;;23,5017;-4,5461;0,0;12,92;10,96;10,92;-0,3;-2,59;0,85;0,15;2,3;6,59296271;;12607,2;17,6283;2,2775;828248185,6;2,5877;-5,48
