TICKER;PRECO;ULTIMO DIVIDENDO;DY;VALOR PATRIMONIAL COTA;P/VP;LIQUIDEZ MEDIA DIARIA;PERCENTUAL EM CAIXA;CAGR DIVIDENDOS 3 ANOS; CAGR VALOR CORA 3 ANOS;PATRIMONIO;N COTISTAS;GESTAO; N COTAS
RNGO11;49,12;0,430000;9,34;87,68;0,56;117.681,23;1,97;-5,62;-17,49;234.620.595,58;12.540,00;Passiva;2.676.000,00
SFND11;83,07;4,250000;5,12;9,28;8,95;;19,47;116,69;;9.107.500,81;54,00;Passiva;981.472,00
STRX11;8,52;0,820000;105,16;140,85;0,06;;0,75;;;227.265.025,75;55,00;Ativa;1.613.559,00
THRA11;138,50;0,130000;0,00;9,54;14,52;;140,47;90,73;0,77;14.050.683,35;2.084,00;Passiva;1.472.728,00
CFII11;0,00;;0,00;965,57;;;35,25;;;11.577.172,53;32,00;Ativa;11.990,00
MGHT11;60,37;0,650000;15,30;85,88;0,72;96.195,67;3,15;;;112.827.000,75;1.641,00;--;1.313.784,00
SRVD11;7,30;0,200000;5,79;0,74;9,86;397,00;1,78;;;71.580.463,87;91,00;Ativa;96.286.020,00
TGAR11;124,50;1,590000;13,36;119,19;1,04;4.579.732,05;4,24;11,83;-3,32;1.348.002.618,83;83.969,00;Ativa;11.309.571,00
TORD11;8,09;0,070000;12,86;14,10;0,57;575.500,59;0,11;;;494.189.888,97;112.630,00;Ativa;35.051.354,00
MCHY11;104,49;1,400000;15,60;103,17;1,01;33.598,69;4,65;;;370.344.555,50;292,00;--;3.589.771,00
MFAI11;68,00;0,700000;12,91;79,33;0,86;32.347,08;14,77;;;24.537.197,52;3.647,00;Ativa;309.287,00
NVIF11B;227,50;0,444576;3,00;277,99;0,82;;13,06;-12,64;;93.793.159,97;7,00;Ativa;337.399,00
TEPP11;82,07;0,490000;7,18;90,06;0,91;677.273,21;0,34;0,52;-6,10;380.210.556,08;9.298,00;Ativa;4.221.967,00
KINP11;9,40;0,134305;30,23;5,34;1,76;68.517,41;7,81;;-12,43;38.154.631,32;1.562,00;Ativa;7.147.934,00
LIFE11;10,16;0,140000;7,20;10,06;1,01;97.534,25;11,69;;;50.710.670,74;3,00;Ativa;5.040.660,00
LOFT11B;29,90;0,201705;0,00;26,47;1,13;;25,39;;-33,80;51.947.768,49;1,00;Ativa;1.962.500,00
LUGG11;78,01;0,550000;8,47;127,91;0,61;33.889,64;0,64;;;115.115.312,37;4.081,00;Ativa;900.000,00
MCHF11;9,15;0,110000;14,79;9,42;0,97;927.628,44;5,91;;;304.441.235,47;19.634,00;Ativa;32.307.646,00
TJKB11;0,00;2,510000;0,00;268,56;;;0,08;;;201.422.757,17;51,00;Ativa;750.000,00
TORM13;142,00;10,562960;0,00;0,00;;2.317,56;;;;0,00;0,00;Ativa;0,00
URPR11;102,30;1,310000;19,20;101,43;1,01;4.057.389,74;9,59;;;999.929.160,72;83.239,00;Ativa;9.858.247,00
PBLV11;926,98;33,917769;7,57;1.549,59;0,60;;1,10;;;5.365.256.624,64;2,00;Ativa;3.462.371,00
VCJR11;94,94;0,150000;14,87;94,31;1,00;2.076.572,59;3,14;;;1.388.689.431,66;13.597,00;Ativa;14.723.970,00
VIUR11;8,10;0,072000;10,52;9,50;0,85;303.349,21;11,04;;;255.882.653,78;8.565,00;Ativa;26.946.220,00
VLJS11;1.141,14;28,819221;2,53;1.052,95;1,08;;4,05;;;27.449.040,85;9,00;Passiva;26.068,00
