TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
CEDO3;6,20;;-1,82;0,60;0,07;12,64;2,39;-3,03;2,30;10,22;8,21;2,16;0,06;-0,63;-0,15;0,83;-33,18;-3,88;7,66;0,12;0,87;1,28;13,54;;31.906,50;10,28;-3,41;0,00;54.015.213,44
CEDO4;4,34;;-1,27;0,42;0,05;12,64;2,39;-3,03;1,61;10,22;8,21;2,16;0,04;-0,44;-0,11;0,83;-33,18;-3,88;7,66;0,12;0,87;1,28;13,54;;4.962,00;10,28;-3,41;0,00;54.015.213,44
CEEB3;39,25;20,40;5,42;1,65;0,40;28,78;23,32;12,63;2,94;6,94;3,33;1,86;0,69;7,95;-0,52;1,26;30,35;7,34;15,94;0,24;0,76;0,58;15,08;48,84;34.906,52;23,85;7,24;0,22;12.646.681.798,29
CEEB5;40,00;20,02;5,53;1,68;0,41;28,78;23,32;12,63;2,99;6,94;3,33;1,86;0,70;8,10;-0,53;1,26;30,35;7,34;15,94;0,24;0,76;0,58;15,08;48,84;5.542,00;23,85;7,24;0,23;12.646.681.798,29
CEEB6;60,68;14,51;8,38;2,54;0,62;28,78;23,32;12,63;4,54;6,94;3,33;1,86;1,06;12,29;-0,81;1,26;30,35;7,34;15,94;0,24;0,76;0,58;15,08;48,84;;23,85;7,24;0,35;12.646.681.798,29
CEED3;41,00;;-19,15;-1,01;0,45;13,04;1,42;-3,05;41,23;69,70;28,45;;0,58;3,55;-0,72;1,49;-5,30;-2,33;129,40;-0,44;1,44;0,76;12,08;;10.570,60;-40,41;-2,14;0,23;2.799.669.113,88
CEED4;48,42;;-22,62;-1,20;0,53;13,04;1,42;-3,05;48,69;69,70;28,45;;0,69;4,19;-0,86;1,49;-5,30;-2,33;129,40;-0,44;1,44;0,76;12,08;;4.842,00;-40,41;-2,14;0,27;2.799.669.113,88
CEGR3;89,00;1,82;49,29;19,93;5,84;23,64;15,47;8,68;27,65;28,74;1,09;0,78;4,28;311,72;-8,09;1,07;40,43;11,85;25,55;0,29;0,71;1,36;7,18;10,03;8.900,00;4,47;1,81;1,97;23.107.758.148,00
CEPE3;125,26;3,42;43,27;6,30;0,67;18,27;11,41;2,54;9,64;15,54;6,63;4,33;1,10;5,58;-1,00;1,58;14,56;1,56;9,32;0,11;0,89;0,61;12,45;;;19,89;2,90;-0,85;8.638.377.191,63
CEPE5;40,11;10,67;13,86;2,02;0,22;18,27;11,41;2,54;3,09;15,54;6,63;4,33;0,35;1,79;-0,32;1,58;14,56;1,56;9,32;0,11;0,89;0,61;12,45;;57.904,30;19,89;2,90;-0,27;8.638.377.191,63
CEPE6;40,11;11,73;13,86;2,02;0,22;18,27;11,41;2,54;3,09;15,54;6,63;4,33;0,35;1,79;-0,32;1,58;14,56;1,56;9,32;0,11;0,89;0,61;12,45;;4.011,00;19,89;2,90;-0,27;8.638.377.191,63
CESP3;25,55;;25,03;1,10;0,58;57,25;48,45;14,48;7,48;8,70;1,28;0,19;3,62;61,50;-0,63;1,13;4,41;2,32;9,43;0,53;0,47;0,16;6,56;-0,96;140.577,00;23,16;1,02;-0,31;8.302.192.833,55
CESP5;25,00;;24,49;1,08;0,57;57,25;48,45;14,48;7,32;8,70;1,28;0,19;3,55;60,18;-0,62;1,13;4,41;2,32;9,43;0,53;0,47;0,16;6,56;-0,96;8.894,80;23,16;1,02;-0,31;8.302.192.833,55
CESP6;25,25;;24,73;1,09;0,57;57,25;48,45;14,48;7,39;8,70;1,28;0,19;3,58;60,78;-0,62;1,13;4,41;2,32;9,43;0,53;0,47;0,16;6,56;-0,96;75.751.511,28;23,16;1,02;-0,31;8.302.192.833,55
CGAS3;140,00;11,66;9,69;14,92;1,47;24,76;18,03;13,05;7,02;9,22;2,20;4,68;1,27;10,36;-2,48;1,54;153,92;15,16;31,04;0,10;0,90;1,16;15,66;16,27;35.086,00;9,39;14,45;0,64;18.552.882.180,00
CGAS5;141,60;12,68;9,80;15,09;1,49;24,76;18,03;13,05;7,10;9,22;2,20;4,68;1,28;10,48;-2,50;1,54;153,92;15,16;31,04;0,10;0,90;1,16;15,66;16,27;136.964,24;9,39;14,45;0,65;18.552.882.180,00
