TICKER;PRECO;ULTIMO DIVIDENDO;DY;VALOR PATRIMONIAL COTA;P/VP;LIQUIDEZ MEDIA DIARIA;PERCENTUAL EM CAIXA;CAGR DIVIDENDOS 3 ANOS; CAGR VALOR CORA 3 ANOS;PATRIMONIO;N COTISTAS;GESTAO; N COTAS
CJCT11;62,99;0,330000;0,00;65,69;0,96;14.965,61;2,72;;2,72;206.272.384,29;1.178,00;Passiva;3.140.000,00
CJFI11;0,00;;0,00;2,61;;;1,59;;;137.450.532,30;1,00;Ativa;52.601.278,00
CNES11;30,79;0,071165;4,52;89,27;0,33;2.788,62;5,28;-17,93;-25,76;263.277.613,28;1.791,00;Ativa;2.949.248,00
COPP11;0,00;;0,00;99,56;;;0,27;;;156.920.663,40;12,00;Ativa;1.576.086,00
CPFF11;67,00;0,450000;9,27;78,09;0,86;406.417,00;0,24;-7,29;-5,78;199.369.991,37;10.731,00;Ativa;2.553.074,00
CPFO11;0,00;;0,00;48,70;;;0,44;;;138.037.144,02;528,00;Ativa;2.834.551,00
CPSH11;0,00;;0,00;101,45;;;5,88;;;34.494.325,62;10,00;;340.000,00
CPTS11;81,87;0,810000;11,23;89,38;0,91;5.815.207,43;0,88;-1,01;-4,91;2.840.864.419,65;220.343,00;Ativa;31.782.814,00
CRFF11;77,60;0,610000;9,54;84,19;0,92;55.901,62;3,18;10,94;-2,96;58.091.206,01;1.631,00;Ativa;690.040,00
CSMC11;0,00;;0,00;1.052,34;;;3,26;;;546.553.228,30;1,00;Ativa;519.370,00
CTNP11;0,00;;0,00;;;;;;;;;;0,00
CTXT11;10,94;0,010000;0,00;33,51;0,33;3.507,93;0,81;-23,80;-40,99;105.732.421,96;3.021,00;Passiva;3.155.589,00
CVBI11;89,09;1,100000;12,93;95,20;0,93;2.452.866,57;3,62;-2,53;-0,50;1.048.140.042,86;74.369,00;Ativa;11.010.228,00
CVPR11;0,00;1,050000;0,00;98,12;;;7,10;;;13.737.093,63;1,00;Ativa;140.000,00
CXAG11;78,90;0,750000;11,76;114,69;0,69;111.746,63;0,35;;;239.782.229,03;11.488,00;Ativa;2.090.621,00
CXCE11B;40,50;0,389849;11,85;65,15;0,62;35.712,17;6,51;-23,42;-25,67;111.592.895,79;3.874,00;Passiva;1.712.950,00
CXCI11;80,11;0,840000;12,43;89,48;0,89;121.592,80;4,66;;;184.125.652,13;5.446,00;Ativa;2.057.726,00
CXCO11;74,35;0,736400;11,67;99,52;0,75;199.082,97;1,51;;;390.567.668,69;13.313,00;Passiva;3.924.500,00
