TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
EPR;42,98;7,68;19,31;1,28;0,56;91,64;48,01;24,94;6,53;18,66;8,63;1,10;4,82;;-0,56;;6,62;2,91;5,93;0,44;0,56;0,12;4,89;-7,69;;33,62;2,23;;3.235.500.016,00
EPRT;23,53;4,67;23,30;1,34;0,85;98,90;65,04;50,10;11,90;24,89;6,95;0,52;11,67;;-0,85;;5,73;3,63;4,80;0,63;0,37;0,07;39,39;84,37;;17,62;1,01;;3.502.160.493,00
EQC;19,53;26,88;42,29;0,91;0,89;100,00;97,26;81,67;27,45;0,28;-35,24;-0,90;34,54;;-0,89;;2,15;2,11;2,49;0,98;0,02;0,03;-28,61;4,67;;21,53;0,46;;2.142.472.248,00
EQIX;759,31;1,71;87,06;5,90;2,27;48,96;17,76;10,84;22,81;62,85;9,72;1,08;9,43;31,72;-2,60;2,28;6,78;2,61;4,30;0,38;0,62;0,24;10,70;24,76;;128,62;8,72;;71.013.176.923,00
EQR;65,39;3,94;27,08;2,22;1,23;64,05;44,65;32,84;11,54;25,66;5,75;0,64;8,89;;-1,23;;8,22;4,55;6,72;0,55;0,43;0,14;2,05;5,29;;29,39;2,42;;24.776.578.333,00
ESRT;8,78;1,59;25,96;1,49;0,34;60,67;26,87;7,46;3,57;16,91;9,71;2,00;1,94;;-0,34;;5,72;1,30;6,00;0,23;0,77;0,18;0,49;-8,56;;5,91;0,34;;1.408.218.054,00
ESS;243,79;3,70;32,02;2,78;1,27;68,64;52,50;29,84;11,11;25,01;6,81;1,04;9,56;;-1,27;;8,70;3,98;7,45;0,46;0,54;0,13;3,33;3,03;;87,55;7,61;;15.646.832.264,00
EXR;139,30;5,20;22,04;5,78;1,55;77,37;57,90;43,02;12,91;21,97;5,59;1,97;9,48;;-1,55;;26,23;7,03;10,64;0,27;0,73;0,16;11,73;12,41;;24,09;6,32;;18.812.395.350,00
FCPT;25,38;5,33;22,39;1,95;1,01;100,00;59,86;43,12;12,07;22,77;6,64;0,80;9,66;27,88;-1,06;2,85;8,72;4,49;6,43;0,51;0,49;0,10;10,87;6,49;;12,99;1,13;;2.208.712.266,00
FPI;11,18;2,15;64,16;1,03;0,50;76,85;50,03;15,08;15,38;33,49;14,15;0,75;9,67;;-0,50;;1,60;0,78;2,96;0,49;0,42;0,05;5,78;8,08;;10,86;0,17;;580.306.844,00
FR;51,22;2,40;21,40;2,72;1,33;73,49;64,06;54,01;12,60;23,95;5,91;0,89;11,56;;-1,33;;12,70;6,22;7,71;0,49;0,51;0,12;6,38;9,67;;18,84;2,39;;6.774.049.880,00
FRT;102,59;4,21;21,96;2,86;1,01;67,20;64,49;34,92;8,26;18,12;6,24;1,50;7,67;;-1,01;;13,02;4,61;9,49;0,35;0,62;0,13;4,62;5,86;;35,89;4,67;;8.362.664.886,00
FSP;1,78;2,25;24,00;0,24;0,15;46,90;19,32;4,75;1,93;18,48;12,58;0,51;1,14;;-0,15;;1,00;0,63;2,63;0,63;0,37;0,13;-9,49;;;7,45;0,07;;183.759.902,00
GEO;7,18;;5,60;0,75;0,24;100,00;18,06;6,64;1,56;6,20;4,14;1,52;0,37;8,61;-0,28;1,27;13,46;4,37;12,21;0,32;0,68;0,66;0,98;3,28;;9,52;1,28;;904.852.320,00
GLPI;47,60;6,51;16,68;3,32;1,12;100,00;81,39;55,38;9,27;17,11;5,76;1,68;9,24;-35,40;-1,12;0,02;19,89;6,74;10,71;0,34;0,66;0,12;6,19;12,46;;14,35;2,85;;12.488.131.320,00
