TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
REXR;56,01;2,25;69,97;1,68;1,19;76,16;34,55;24,95;50,53;59,66;9,14;0,30;17,46;;-1,19;;2,40;1,70;2,54;0,71;0,29;0,07;31,44;32,71;;33,33;0,80;;11.019.065.739,00
RHP;80,22;0,44;35,02;46,45;1,10;44,95;17,84;7,00;13,74;21,25;7,51;25,38;2,45;-1,66;-1,35;0,22;132,63;3,13;9,58;0,02;0,98;0,45;8,80;-7,69;;1,73;2,29;;4.425.488.718,00
RITM;7,72;12,95;4,12;0,53;0,11;100,00;80,08;34,59;1,78;7,92;6,14;1,82;1,43;;-0,11;;12,78;2,73;5,90;0,21;0,79;0,08;43,31;-0,59;;14,66;1,87;;3.657.198.688,00
RLJ;9,63;1,25;67,80;0,65;0,31;63,44;11,47;1,93;11,44;23,72;12,28;0,70;1,31;;-0,31;;0,96;0,46;2,92;0,49;0,51;0,24;-2,52;-10,94;;14,85;0,14;;1.565.482.653,00
ROIC;13,11;4,42;31,50;1,26;0,54;100,00;36,65;16,58;14,24;26,34;12,10;1,07;5,22;-1,10;-0,57;0,09;4,00;1,73;4,26;0,43;0,57;0,10;2,75;6,16;;10,40;0,42;;1.633.635.789,00
RPAI;13,15;;143,60;1,79;0,78;83,92;21,52;4,32;28,84;45,98;17,14;1,06;6,21;;-0,78;;1,25;0,54;2,95;0,44;0,56;0,13;-6,57;-33,92;;7,35;0,09;;2.824.592.385,00
RPT;8,95;5,92;10,01;0,81;0,40;74,20;55,76;35,54;6,38;9,89;3,51;0,44;3,56;;-0,40;;8,05;3,97;6,68;0,49;0,51;0,11;-3,87;4,01;;11,11;0,89;;774.026.430,00
RWT;6,41;14,35;-4,45;0,67;0,06;;;;1,97;10,23;8,26;2,81;;;-0,06;;-15,09;-1,25;7,18;0,08;0,92;0,00;;;;9,54;-1,44;;728.104.208,00
RYN;32,07;3,55;44,12;2,53;1,25;24,29;18,52;11,78;28,06;36,37;8,32;0,75;5,20;44,13;-1,32;2,12;5,74;2,83;4,70;0,49;0,51;0,24;2,09;-6,37;;12,66;0,73;;4.724.520.330,00
SAFE;28,95;2,42;13,34;0,84;0,31;98,85;97,89;50,10;6,83;19,27;12,44;1,54;6,68;;-0,31;;6,32;2,31;4,67;0,37;0,63;0,05;63,36;;;34,32;2,17;;1.806.404.730,00
SBAC;256,41;1,16;60,04;-5,25;2,62;74,61;35,15;17,52;29,92;43,62;13,70;;10,52;-129,43;-2,74;0,69;-8,75;4,36;11,32;-0,50;1,50;0,25;8,80;34,80;;-48,84;4,27;;27.702.279.990,00
SBRA;10,46;11,47;-31,16;0,79;0,42;100,00;21,72;-13,21;18,96;38,19;19,23;0,80;4,12;;-0,42;;-2,54;-1,35;2,27;0,53;0,47;0,10;8,50;;;13,22;-0,34;;2.417.927.324,00
SELF;5,10;5,54;18,90;1,16;0,83;65,68;32,51;25,73;14,96;17,88;2,92;0,23;4,86;;-0,83;;6,16;4,41;5,72;0,72;0,28;0,17;16,13;53,58;;4,38;0,27;;56.638.050,00
SITC;11,50;4,52;15,35;1,16;0,60;69,23;44,77;28,53;9,78;16,60;6,82;0,81;4,38;;-0,60;;7,55;3,90;6,50;0,52;0,48;0,14;-9,73;;;9,92;0,75;;2.419.294.100,00
SKT;18,74;4,48;23,86;3,98;0,88;67,48;28,06;18,54;15,77;25,14;9,37;2,37;4,42;;-0,88;;16,69;3,70;6,47;0,22;0,78;0,20;-1,94;3,83;;4,70;0,79;;1.958.290.646,00
SLG;20,47;17,63;-15,40;0,29;0,11;62,23;-2,20;-10,35;-72,34;-328,15;-255,81;1,02;1,59;;-0,11;;-1,87;-0,69;-0,18;0,37;0,59;0,07;-11,37;;;71,23;-1,33;;1.317.561.785,00
SNR;8,82;;-27,24;4,07;0,43;39,07;9,48;-8,40;24,14;71,62;47,47;7,99;2,29;;-0,43;;-14,93;-1,56;1,84;0,10;0,88;0,19;-2,84;;;2,17;-0,32;;741.437.424,00
SOHO;1,99;;1,43;0,73;0,09;27,98;32,67;16,15;0,71;6,16;5,45;5,66;0,23;;-0,09;;51,34;6,60;14,32;0,13;0,87;0,41;1,49;136,15;;2,72;1,39;;38.279.242,00
SOHOB;24,07;2,08;17,26;8,86;1,14;27,98;32,67;16,15;8,53;6,16;5,45;5,66;2,79;;-1,14;;51,34;6,60;14,32;0,13;0,87;0,41;1,49;136,15;;2,72;1,39;;38.279.242,00
