TICKER;PRECO;ULTIMO DIVIDENDO;DY;VALOR PATRIMONIAL COTA;P/VP;LIQUIDEZ MEDIA DIARIA;PERCENTUAL EM CAIXA;CAGR DIVIDENDOS 3 ANOS; CAGR VALOR CORA 3 ANOS;PATRIMONIO;N COTISTAS;GESTAO; N COTAS
MORC11;92,52;1,150000;16,58;97,84;0,95;258.670,12;3,46;;;126.403.492,41;4.821,00;Ativa;1.291.942,00
RBOP11;474,87;8,250000;26,80;771,13;0,61;74.354,18;6,96;9,37;-23,57;78.396.590,65;3.610,00;Ativa;101.664,00
CBOP11;37,45;0,120000;16,85;73,89;0,51;30.847,33;1,44;2,44;-22,19;104.547.673,82;3.679,00;Passiva;1.415.000,00
VSHO11;63,79;0,650000;11,43;100,30;0,64;28.361,39;1,81;11,72;-14,06;210.513.296,75;2.762,00;Ativa;2.098.800,00
ERCR11;76.000,00;139,449698;7,67;64.104,84;1,19;;0,20;;;152.313.099,10;10,00;Passiva;2.376,00
LASC11;103,95;0,910000;8,96;106,34;0,98;2.844,86;9,07;24,51;;312.678.060,80;354,00;Ativa;2.940.298,00
ARFI11B;479,99;;0,00;651,70;0,74;;1,52;;;74.329.618,05;28,00;Ativa;114.054,00
NAVT11;70,04;0,850000;14,41;86,38;0,82;385.778,00;5,12;;;91.085.860,66;1.926,00;Ativa;1.054.507,00
BNFS11;118,39;1,348876;14,50;91,54;1,29;65.110,09;6,00;13,93;0,98;64.081.336,09;4.031,00;Ativa;700.000,00
VTVI11;0,00;;0,00;36,03;;;1,49;;;64.170.790,63;1,00;Ativa;1.780.984,00
MAXR11;62,23;0,543076;12,10;123,67;0,50;118.634,09;1,27;-3,55;-14,62;139.214.660,42;4.203,00;Ativa;1.125.655,00
SJAU11;86,30;;0,00;102,41;0,84;1.759,83;0,02;;;812.359.505,64;144,00;Passiva;7.932.248,00
TORD11;4,93;0,050000;17,74;13,94;0,35;504.662,76;0,09;;;488.775.081,25;109.042,00;Ativa;35.051.354,00
SNEL11;100,00;;0,00;93,82;1,07;;29,67;;;46.912.789,24;3.363,00;Ativa;500.026,00
HLOG11;84,10;0,650000;9,27;116,07;0,72;28.332,67;1,86;0,52;-12,95;493.289.241,38;4.136,00;Ativa;4.250.000,00
HGLG11;159,66;1,100000;10,33;153,25;1,04;4.710.267,88;3,38;14,37;3,27;3.594.843.262,68;339.878,00;Ativa;23.456.675,00
