TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
MODL3;2,73;3,79;26,24;1,44;0,24;58,04;12,02;5,04;11,01;11,50;;;1,32;;-0,30;;5,51;0,90;;0,16;0,84;0,18;;;12.256.671,57;1,87;0,10;-1,45;1.985.844.000,00
MODL4;2,72;3,77;26,44;1,46;0,24;58,04;12,02;5,04;11,09;11,50;;;1,33;;-0,30;;5,51;0,90;;0,16;0,84;0,18;;;31.974,18;1,87;0,10;-1,46;1.985.844.000,00
MOSI3;8,24;;32,29;1,56;1,46;89,47;6,23;14,75;76,45;36,94;-39,51;-0,81;4,76;1,91;-8,40;13,23;4,84;4,52;0,25;0,93;0,07;0,31;;;6.097.270,00;5,27;0,26;;1.043.149.227,20
MOVI3;9,78;14,56;4,34;1,24;0,15;41,06;29,50;9,45;1,39;5,38;3,97;3,54;0,41;0,98;-0,23;1,80;28,56;3,49;11,90;0,12;0,88;0,37;23,01;83,02;46.470.853,30;7,88;2,25;0,35;3.572.298.567,96
MRFG3;10,55;24,55;1,28;1,00;0,05;15,93;11,48;4,65;0,52;3,56;3,04;5,87;0,06;0,66;-0,08;1,28;78,08;4,07;14,51;0,05;0,78;0,87;35,31;;119.042.644,77;10,57;8,26;0,11;6.976.200.000,00
MRSA3B;25,00;1,87;12,21;1,65;0,65;35,11;29,39;13,42;5,57;7,68;1,81;0,54;1,64;-29,30;-0,78;0,88;13,51;5,29;13,87;0,39;0,61;0,39;6,19;10,77;5.134,00;15,16;2,05;-0,64;8.955.001.939,00
MRSA5B;28,00;1,84;13,67;1,85;0,72;35,11;29,39;13,42;6,24;7,68;1,81;0,54;1,83;-32,82;-0,87;0,88;13,51;5,29;13,87;0,39;0,61;0,39;6,19;10,77;6.400,00;15,16;2,05;-0,72;8.955.001.939,00
MRSA6B;21,00;2,45;10,25;1,39;0,54;35,11;29,39;13,42;4,68;7,68;1,81;0,54;1,38;-24,62;-0,65;0,88;13,51;5,29;13,87;0,39;0,61;0,39;6,19;10,77;4.200,00;15,16;2,05;-0,54;8.955.001.939,00
MRVE3;8,70;6,42;9,74;0,68;0,18;20,60;12,01;6,27;5,08;12,66;7,51;1,00;0,61;0,76;-0,34;2,11;6,94;1,89;3,48;0,27;0,69;0,30;10,87;-5,00;169.900.194,87;12,85;0,89;-0,25;4.252.448.543,20
MSPA3;50,01;;-9,93;0,40;0,22;32,47;-10,46;-17,14;-16,27;-20,78;-4,85;0,12;1,70;7,77;-0,24;1,57;-4,00;-2,27;-2,09;0,57;0,43;0,13;-22,81;;12.300,50;126,06;-5,04;3,29;313.612.954,85
MSPA4;41,35;;-8,21;0,33;0,19;32,47;-10,46;-17,14;-13,46;-20,78;-4,85;0,12;1,41;6,43;-0,20;1,57;-4,00;-2,27;-2,09;0,57;0,43;0,13;-22,81;;8.270,00;126,06;-5,04;2,72;313.612.954,85
MSRO3;702,50;;2.121,19;277,50;70,01;61,25;41,32;8,46;434,20;437,83;3,64;2,32;179,40;-503,33;-85,81;0,57;13,08;3,30;15,23;0,25;0,75;0,39;9,20;-7,65;;2,53;0,33;70,51;18.271.898.550,00
MTIG3;0,00;;0,00;0,00;0,00;-23,23;-86,65;-132,89;0,00;-2,93;-2,82;;0,00;0,00;0,00;0,23;-72,74;-61,25;-149,31;-0,84;1,84;0,46;-19,40;;;-0,58;-0,42;0,00;3.700.608,00
MTIG4;23,00;;-54,87;-39,91;33,61;-23,23;-86,65;-132,89;-84,15;-2,93;-2,82;;72,92;-31,14;-49,22;0,23;-72,74;-61,25;-149,31;-0,84;1,84;0,46;-19,40;;6.887,40;-0,58;-0,42;-0,05;3.700.608,00
MTRE3;4,34;10,28;12,56;0,46;0,28;31,05;6,14;5,48;11,22;9,64;-1,70;-0,07;0,69;0,50;-1,42;3,37;3,70;2,26;2,24;0,61;0,38;0,41;57,62;141,81;2.500.514,40;9,32;0,34;3,94;463.293.711,60
MTSA3;69,23;3,18;7,40;1,63;1,07;29,55;14,76;10,62;5,32;3,89;-0,42;-0,13;0,79;2,22;-5,65;2,46;22,09;14,44;17,77;0,65;0,35;1,36;21,69;43,68;13.846,00;42,37;9,36;0,13;493.076.023,90
MTSA4;44,01;5,50;4,70;1,04;0,68;29,55;14,76;10,62;3,38;3,89;-0,42;-0,13;0,50;1,41;-3,59;2,46;22,09;14,44;17,77;0,65;0,35;1,36;21,69;43,68;108.709,56;42,37;9,36;0,08;493.076.023,90
