TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
VERI;5,07;;-4,04;2,63;0,40;83,23;-28,14;-28,66;-4,11;-4,09;0,00;0,00;1,16;1,36;-1,27;1,74;-65,19;-9,82;-17,29;0,15;0,85;0,34;66,87;;;1,95;-1,27;;185.439.856,00
VERO;0,19;;-0,36;1,48;0,12;67,71;-32,35;-35,34;-0,40;-2,43;-2,03;7,58;0,13;0,27;-0,35;2,74;-407,88;-31,60;-41,53;0,08;0,92;0,89;46,60;;;0,13;-0,55;;13.866.920,00
VERU;1,58;;-1,10;2,56;1,21;70,15;-397,09;-412,01;-1,14;-0,75;0,43;-0,96;4,54;3,82;-4,09;1,82;-232,67;-110,08;-224,36;0,47;0,53;0,27;23,58;;;0,61;-1,42;;129.051.200,00
VERX;18,09;;-221,57;11,87;3,79;60,72;-1,64;-2,50;-337,32;-328,98;8,53;-0,30;5,55;-16,83;-5,70;0,60;-5,36;-1,71;-3,68;0,32;0,68;0,68;;;;1,53;-0,08;;2.727.725.382,00
VERY;7,91;;-6,95;0,99;0,15;60,83;-10,08;-9,94;-6,85;-8,98;-2,13;0,31;0,69;;-0,15;;-14,25;-2,21;-10,36;0,15;0,85;0,22;;;;7,99;-1,14;;117.661.250,00
VET;12,25;1,76;3,02;0,95;0,41;75,68;51,58;28,96;1,69;2,74;1,05;0,59;0,87;-5,96;-0,44;0,55;31,55;13,47;32,36;0,43;0,57;0,47;25,25;81,14;;12,87;4,06;;1.992.672.000,00
VFC;21,42;8,37;20,29;2,53;0,59;53,04;5,86;3,54;12,27;20,76;8,55;1,76;0,72;12,05;-0,93;1,15;12,48;2,89;6,86;0,23;0,77;0,82;7,12;17,67;;8,54;1,07;;8.367.780.904,00
VFF;0,90;;-0,97;0,32;0,21;9,37;-30,94;-34,45;-1,08;-1,51;-0,43;0,13;0,33;1,61;-0,30;1,84;-33,37;-21,74;-26,23;0,65;0,31;0,63;13,13;;;2,75;-0,92;;98.112.621,00
VG;20,99;;-130,58;9,36;3,90;49,82;-1,33;-2,87;-281,21;-304,98;-23,78;0,79;3,75;-73,00;-4,65;0,75;-7,17;-2,98;-2,08;0,42;0,58;1,04;8,08;;;2,24;-0,16;;5.385.664.576,00
VGR;11,37;8,70;11,31;-2,22;1,98;30,70;22,99;11,01;5,42;8,65;3,23;;1,25;5,67;-4,31;2,80;-19,64;17,47;44,56;-0,89;1,89;1,59;-4,43;13,42;;-5,17;1,02;;1.792.877.520,00
VHC;1,71;;-5,57;0,69;0,68;100,00;-37.666,67;-40.112,96;-5,93;1,81;7,82;-0,91;2.235,33;0,77;-6,73;83,89;-12,35;-12,22;-12,35;0,99;0,01;0,00;-53,15;;;2,46;-0,30;;122.136.237,00
VHI;16,19;1,97;5,09;0,48;0,16;23,57;7,50;3,98;2,70;2,50;-0,24;-0,04;0,20;0,42;-0,37;3,23;9,41;3,18;8,97;0,34;0,54;0,80;3,54;-15,35;;33,90;3,19;;465.197.775,00
VIAO;3,07;;-4,81;1,07;0,39;9,00;-5,32;-6,26;-5,67;-1,48;4,19;-0,79;0,30;1,64;-2,28;1,41;-22,19;-8,15;-18,07;0,37;0,63;1,30;;;;2,76;-0,61;;66.827.825,00
VIAV;10,22;;29,42;3,37;1,27;59,64;13,05;6,30;14,19;15,36;1,20;0,28;1,85;3,97;-2,53;2,77;11,44;4,31;8,50;0,38;0,62;0,68;9,93;-37,32;;3,06;0,35;;2.310.712.700,00
VICR;41,40;;71,95;3,95;3,41;45,24;7,19;6,38;63,82;57,04;-6,64;-0,41;4,59;6,14;-10,50;5,62;5,48;4,74;5,48;0,86;0,14;0,74;11,86;173,26;;10,52;0,58;;1.826.872.547,00
VIE;53,01;;-19,33;7,75;6,88;82,49;-1.293,07;-1.293,07;-19,33;-16,89;2,44;-0,98;249,99;8,49;-85,78;8,45;-40,09;-35,60;-40,09;0,89;0,11;0,03;;;;6,84;-2,74;;2.912.907.398,49
VII;10,35;;31,57;-28,87;1,29;;;;30,84;30,84;0,01;;;-133,44;-1,29;0,16;-91,46;4,07;-94,93;-0,04;0,05;0,00;;;;-0,36;0,33;;297.562.500,00
VINP;8,41;8,43;9,78;1,66;1,50;100,00;46,83;46,59;9,73;4,24;-5,53;-0,94;4,56;1,73;-20,52;15,25;17,00;15,29;12,64;0,90;0,10;0,33;;;;5,07;0,86;;464.474.304,00
VIOT;1,04;;-4,96;0,30;0,16;24,15;-3,62;-2,29;-3,14;3,47;6,62;-0,64;0,11;0,37;-1,19;1,98;-6,11;-3,23;-10,73;0,53;0,47;1,41;79,24;42,81;;3,43;-0,21;;72.092.592,00
VIPS;14,99;;12,67;1,72;0,98;19,83;4,73;4,06;10,86;6,89;-3,96;-0,63;0,51;8,65;-1,97;1,29;13,60;7,75;12,20;0,57;0,43;1,91;17,67;20,17;;8,71;1,18;;8.776.907.832,00
VIR;23,74;;6,09;1,51;1,12;90,94;47,21;31,92;4,12;0,97;-3,17;-1,16;1,94;1,56;-11,10;4,93;24,82;18,41;25,23;0,74;0,26;0,58;259,04;;;15,56;3,86;;3.152.676.354,00
VIRC;3,91;;-16,50;0,99;0,44;35,70;4,08;-1,65;6,69;8,25;1,55;0,23;0,27;1,37;-1,17;2,07;-6,00;-2,67;-2,39;0,45;0,55;1,62;1,28;;;3,95;-0,24;;63.385.010,00
VIRI;0,30;;-0,46;0,78;0,68;;;;-0,46;0,11;0,57;-0,96;;0,78;;8,02;-167,19;-146,33;-167,19;0,88;0,12;0,00;;;;0,40;-0,67;;5.682.424,00
VIRT;18,26;5,30;6,69;1,32;0,17;100,00;43,10;12,98;2,01;3,20;1,20;0,78;0,87;;-0,17;;19,75;2,50;21,00;0,13;0,87;0,19;18,55;146,05;;13,71;2,71;;1.762.779.178,00
VISL;0,38;;-0,86;0,39;0,32;51,99;-67,84;-67,36;-0,85;0,26;1,11;-0,50;0,58;0,43;-2,59;6,62;-44,96;-37,47;-45,38;0,83;0,17;0,56;38,81;;;1,01;-0,46;;18.493.527,00
VIST;16,33;;6,29;1,95;0,77;54,74;47,46;22,25;2,95;3,32;0,37;0,24;1,40;-5,84;-0,90;0,53;31,02;12,18;29,27;0,39;0,61;0,55;;;;8,37;2,60;;1.444.562.210,00
