companyId;companyName;ticker;price;gestao;dy;p_vp;valorpatrimonialcota;liquidezmediadiaria;percentualcaixa;dividend_cagr;cota_cagr;numerocotistas;numerocotas;patrimonio;lastdividend
943;FUNDO DE INVEST IMOBILIARIO SUNO ENERGIAS LIMPAS;SNEL11;100,0;Ativa;0,0;1,0456;95,64;;26,878;;;3363,0;500026,0;47820574,86;
735;VENUS - FUNDO DE INVESTIMENTO IMOBILIÁRIO;SALI11;0,0;Passiva;0,0;;101,3;;4,2518;;;1,0;79565,0;8059821,59;
815;LAGO DA PEDRA;LPLP11;0,0;Ativa;0,0;;569,17;;0,2568;;;4,0;223330,0;127111676,67;9,76439045
839;KILIMA VOLKANO RECEBÍVEIS IMOB FDO DE INV IMOB;KIVO11;86,3;Ativa;15,4693;0,8939;96,54;152067,03;27,736;;;1355,0;1215124,0;117309169,67;1,4
92;Rio Bravo Crédito Imobiliário I;RBCB11;19,0;Ativa;0,0;;0,0;;;-15,0371;-7,0376;462,0;53100,0;0,0;0,3
543;RB CAPITAL DESENV RESID III FDO INV IMOB - FII;RSPD11;1125,0;Ativa;3,1139;1,0471;1074,41;3375,0;4,4854;;;105,0;149011,0;160099282,29;35,03097087
518;FDO INV IMOB VOTORANTIM SHOPPING;VSHO11;64,53;Ativa;11,0491;0,6494;99,37;56502,39;1,2466;4,4721;-18,6672;2645,0;2098800,0;208565963,01;0,55
809;EQI RECEBÍVEIS IMOBILIÁRIOS;EQIR11;9,7;Ativa;105,1987;0,9939;9,76;106449,23;3,9037;;;2046,0;5025000,0;49065462,53;0,11
652;RB Capital Recebíveis Imobiliários;RRCI11;86,01;Ativa;16,126;0,9142;94,08;264719,1;4,8103;;;2494,0;481757,0;45321962,26;0,9
6;Oportunity;FTCE11B;2870,0;Ativa;7,1855;1,0038;2859,17;2584367,0;1,7763;;;57,0;935878,0;2675838199,25;37,628886233
826;CSÃO FRANCISCO 34;SFRO11;0,0;Passiva;0,0;;5,93;;102,5296;;;20,0;875758,0;5191438,53;
640;BRIO REAL ESTATE II - FDO INV IMOB;BRIM11;1030,22;Ativa;16,4489;0,9261;1112,38;1020,4;2,3312;;;209,0;124137,0;138087410,76;8,86
694;ENERGY RESORT FDO. INVEST. IMOB;EGYR11;1,22;Passiva;0,0;0,0984;12,4;17486,84;0,0019;;;63,0;7520108,0;93284002,24;
508;PÁTRIA EDIFÍCIOS CORPORATIVOS FDO INV IMOB;PATC11;68,5;Ativa;6,6569;0,8967;76,39;245109,74;4,8925;8,7551;-19,6402;8405,0;3477434,0;265626561,47;0,34
19;Vereda;VERE11;233,49;Ativa;14,4821;0,7045;331,41;;0,5701;19,3904;;54,0;569529,0;188746826,52;2,11
96;XP Industrial;XPIN11;73,25;Ativa;10,198;0,7051;103,89;393121,74;4,1073;-0,3984;-26,1516;46626,0;7150422,0;742845477,53;0,65
113;Malls Brasil Plural;MALL11;102,81;Ativa;8,7346;0,8574;119,91;1522252,94;2,7311;25,3441;-6,4661;110158,0;9124659,0;1094178737,27;0,78
148;Polo Recebíveis Imobiliários I;PLRI11;24,85;Ativa;16,7112;0,7727;32,16;6026,29;2,5693;16,4524;-23,3124;798,0;954304,0;30687942,15;0,1870474
606;RIO BRAVO CREDITO IMOB HIGH GRADE;RBHG11;84,09;Ativa;16,7677;0,9132;92,08;232907,35;3,2055;;-5,4229;7464,0;1727582,0;159082063,5;1,08
15;Multi Properties FII;PRTS11;117,7;Ativa;0,0466;1961,6667;0,06;;103,361;;;11,0;55727500,0;3111607,44;0,054870475
21;Hospital da Criança;HCRI11;227,0;Passiva;8,7919;0,7371;307,96;29114,03;2,2908;3,3806;-21,3661;3066,0;200000,0;61592370,0;3,489881601
817;FDO DE INV IMOB MAUÁ CAPITAL HIGH YIELD - FII;MCHY11;110,7;--;17,9765;1,1031;100,35;25409,32;1,6017;;;401,0;3589771,0;360235419,27;1,4
925;KINEA PREMIUM PROPERTIES FDO INV IMOB;KNPR11;0,0;Ativa;0,0;;90,14;;28,7727;;;594,0;579911,0;52273009,66;2,5
57;Transinc;TSNC11;0,0;Ativa;0,0;;88,14;;5,0968;-18,9745;;66,0;1086780,0;95785831,01;0,625957636
706;TOURMALET V - ED. CIDADE NOVA;TCIN11;129,23;Ativa;0,0;1,1885;108,73;258,0;0,3662;;;129,0;831197,0;90375768,24;
574;LUGGO FDO. INV. IMOB.;LUGG11;77,0;Ativa;8,5455;0,6026;127,78;14592,13;0,6625;7,8477;-10,7199;4058,0;900290,0;115039500,72;0,52
814;JS ATIVOS FINANCEIROS;JSAF11;78,26;Ativa;14,1835;0,8331;93,94;424887,87;3,2321;;;3356,0;1573047,0;147767900,26;0,93
641;FUNDO DE INVESTIMENTO IMOBILIÁRIO ATHENA I;FATN11;94,89;Ativa;10,5385;0,9539;99,48;54885,77;4,6012;;;895,0;1215179,0;120889909,57;0,92
99;Kinea II Real Estate Equity;KNRE11;0,52;Ativa;66,3382;0,6842;0,76;8157,23;30,9036;;-55,6969;5732,0;18547161,0;14139052,97;0,0377416248
69;SDI Logística Rio;SDIL11;91,79;Ativa;10,1318;0,9379;97,87;799692,42;0,9747;14,2874;-12,3363;66604,0;6395050,0;625880844,9;0,82
533;FDO INV IMOB GREEN TOWERS;GTWR11;74,23;Ativa;12,0302;0,7838;94,7;702477,13;0,961;2,6665;-15,3208;26273,0;12000000,0;1136410836,6;0,79
71;Votorantim Logística;VTLT11;93,53;Ativa;10,649;0,9285;100,73;229976,13;2,8202;4,901;-8,849;6336,0;2115000,0;213038186,08;0,83
550;XP CREDITO IMOBILIÁRIO - FDO INV IMOB;XPCI11;82,45;Ativa;14,1055;0,8979;91,83;2552682,87;8,7832;16,847;-8,2554;72056,0;8701551,0;799073870,61;0,72
585;XP SELECTION FDO DE FUNDOS INV IMOB - FII;XPSF11;7,21;Ativa;11,9001;0,8635;8,35;521181,06;1,1123;1,1324;;37882,0;43302140,0;361463953,32;0,077
581;TRX Real Estate;TRXF11;104,65;Ativa;10,0812;0,9924;105,45;2717003,32;9,363;;-3,9231;76381,0;8881638,0;936587821,89;1,2
838;KINEA CREDITAS FDO DE INV IMOBILIÁRIO;KCRE11;88,94;Ativa;6,3751;0,9083;97,92;502184,06;9,8034;;;4174,0;3600000,0;352526511,35;0,61
605;RBR LOG FUNDO DE INVESTIMENTO IMOBILIÁRIO;RBRL11;78,23;Ativa;9,8632;0,7293;107,26;386608,94;1,5019;;;9896,0;6687035,0;717254779,29;0,65
74;OURINVEST JPP;OUJP11;95,3;Ativa;16,0021;0,954;99,89;934824,19;1,8965;24,7344;-6,9477;25611,0;3252384,0;324887065,54;1,25
49;Presidente Vargas;PRSV11;139,89;Passiva;0,0;0,6362;219,88;4866,16;10,8541;28,9223;-32,258;1027,0;195000,0;42875770,41;1,62
575;FDO INV IMOB - V2 PROPERTIES;VVPR11;101,5;Ativa;7,0405;1,0354;98,03;1249061,55;1,2707;;-3,7917;1372,0;2305771,0;226032234,18;0,892339668
919;SH SPECIAL OPPS FUNDO DE INVESTIMENTO IMOBILIÁRIO;SHSO11;0,0;Ativa;0,0;;85,78;;11,9593;;;1,0;100000,0;8578391,32;1,39
845;BASÍLICA PARTNERS LED CORPORATE FDO INV IMOB FII;BPLC11;0,0;Ativa;0,0;;10268,52;;4,0309;;;114,0;32000,0;328592540,71;15,05150847
616;FDO. INV. IMOB. VBI PRIME PROPERTIES;PVBI11;86,96;Ativa;7,7737;0,8411;103,39;2485102,74;1,0166;;;83814,0;10039493,0;1037934528,45;0,57
784;VINCI IMÓVEIS URBANOS;VIUR11;7,57;Ativa;11,3871;0,8228;9,2;238515,32;8,6726;;;11389,0;26946220,0;247977447,94;0,072
804;BRIO MULTIESTRATÉGIA;BIME11;7,7;Ativa;17,1429;0,8527;9,03;106801,35;2,6122;;;6292,0;5845602,0;52808976,89;0,07
497;DIAMANTE FDO INV IMOB;DAMT11B;17,5;Passiva;0,9108;1,3188;13,27;722,67;0,9325;;;559,0;7305341,0;96954733,25;0,071180788
65;Infra Real State;FINF11;0,0;Ativa;0,0;;40,6;;2,9;-4,4698;;4,0;820112,0;33300079,6;0,533961
551;XP PROPERTIES FDO. INV. IMOB.;XPPR11;33,5;Ativa;13,2836;0,4502;74,41;513507,77;1,9535;-17,203;-33,5942;68393,0;7316171,0;544417957,95;0,3
717;MAUÁ CAPITAL HEDGE FUND;MCHF11;8,88;Ativa;14,9775;0,9338;9,51;1033471,48;3,7957;;;30318,0;32307646,0;307239777,17;0,1
713;INTER TEVA INDICE DE PAPEL FUNDO DE INVESTIMENTO;ITIP11;76,97;Passiva;14,3043;0,961;80,09;87279,1;1,1953;;;2559,0;748151,0;59916768,98;0,68
13;Maxi Renda;MXRF11;10,17;Ativa;11,8977;1,0079;10,09;5136938,97;3,6331;12,0544;-7,0156;739809,0;226039663,0;2280166594,36;0,1
823;SUNO RECEBÍVEIS IMOBILIÁRIOS FDO DE INV IMOB;SNCI11;97,74;Ativa;14,9887;1,0035;97,4;919753,71;0,7543;;;43674,0;4200000,0;409061851,09;1,0
902;CANUMA CAPITAL MULTIESTRATÉGIA FDO DE INV IMOB;CCME11;102,14;Ativa;2,6336;1,0141;100,72;10083,18;53,1482;;;77,0;2495084,0;251302436,52;0,99
913;PRAIA DO CASTELO FUNDO DE INVESTIMENTO IMOBILIÁRIO;PCAS11;0,0;Passiva;0,0;;7240,49;;0,5807;;;50,0;70000,0;506834171,9;
905;FRONTEIRA MULTI FUNDO DE INVESTIMENTO IMOBILIÁRIO;FRHY11;0,0;Ativa;0,0;;99,53;;8,1086;;;7,0;130500,0;12989074,66;1,26
152;RBR Rendimento High Grade;RBRR11;88,5;Ativa;13,7514;0,9408;94,07;4025894,97;1,7165;23,2772;-6,9645;128356,0;13438908,0;1264255002,92;0,90401616
689;BRIO CRÉDITO ESTRUTURADO;BICE11;986,0;Ativa;6,7278;0,9892;996,79;397237,2;34,3142;;;102,0;21071,0;21003291,8;12,0
125;Áquilla Renda;ARFI11B;479,99;Ativa;0,0;0,7365;651,7;;1,5241;;;28,0;114054,0;74329618,05;
552;RIZA ARCTIUM REAL ESTATE FDO INV IMOB;ARCT11;88,63;Ativa;16,3129;0,8846;100,19;1016787,13;4,7399;-5,5425;-57,444;43228,0;3708168,0;371534654,03;0,393310235
715;JFL LIVING FDO. INV. IMOB.;JFLL11;60,35;Ativa;12,4441;0,5976;100,98;95825,9;2,385;;;4315,0;1500598,0;151528709,95;0,67
81;Brasil Plural Absoluto Fundo de Fundos;BPFF11;64,56;Ativa;12,4071;0,8785;73,49;317143,65;3,8333;5,8186;-19,6601;19325,0;4492326,0;330121846,94;0,62
580;CAPITÂNIA REIT FOF - FDO. INVEST. IMOB;CPFF11;63,2;Ativa;11,7089;0,8178;77,28;512732,35;0,2701;;-16,0525;12598,0;5449778,0;421169425,58;0,6
719;MULTIOFFICES 2 - FDO. INV. IMOB.;MOFF11;0,0;Ativa;0,0;;807,34;;0,2406;;;4,0;209066,0;168787791,63;
632;HSI ATIVOS FINANCEIROS;HSAF11;78,69;Ativa;15,8216;0,8615;91,34;353253,03;2,2993;;;8070,0;2526360,0;230754977,58;0,8
